,E61_WT_500uM,E61_WT_500uM,E61_WT_10uM,E61_WT_10uM,E61_WT_DMSO,E61_WT_DMSO,E61_WT_Control,E61_WT_Control
,time,counts,time,counts,time,counts,time,counts
124,0 days 20:40:00,358,0 days 20:40:00,411,0 days 20:40:00,252,0 days 20:40:00,244
125,0 days 20:50:00,352,0 days 20:50:00,412,0 days 20:50:00,256,0 days 20:50:00,234
126,0 days 21:00:00,369,0 days 21:00:00,415,0 days 21:00:00,264,0 days 21:00:00,243
127,0 days 21:10:00,353,0 days 21:10:00,403,0 days 21:10:00,263,0 days 21:10:00,242
128,0 days 21:20:00,361,0 days 21:20:00,413,0 days 21:20:00,268,0 days 21:20:00,239
129,0 days 21:30:00,361,0 days 21:30:00,425,0 days 21:30:00,264,0 days 21:30:00,230
130,0 days 21:40:00,355,0 days 21:40:00,417,0 days 21:40:00,273,0 days 21:40:00,237
131,0 days 21:50:00,363,0 days 21:50:00,416,0 days 21:50:00,266,0 days 21:50:00,235
132,0 days 22:00:00,360,0 days 22:00:00,404,0 days 22:00:00,267,0 days 22:00:00,245
133,0 days 22:10:00,360,0 days 22:10:00,414,0 days 22:10:00,262,0 days 22:10:00,245
134,0 days 22:20:00,364,0 days 22:20:00,418,0 days 22:20:00,267,0 days 22:20:00,245
135,0 days 22:30:00,356,0 days 22:30:00,408,0 days 22:30:00,271,0 days 22:30:00,253
136,0 days 22:40:00,349,0 days 22:40:00,412,0 days 22:40:00,277,0 days 22:40:00,245
137,0 days 22:50:00,351,0 days 22:50:00,419,0 days 22:50:00,281,0 days 22:50:00,244
138,0 days 23:00:00,356,0 days 23:00:00,415,0 days 23:00:00,267,0 days 23:00:00,249
139,0 days 23:10:00,351,0 days 23:10:00,409,0 days 23:10:00,273,0 days 23:10:00,247
140,0 days 23:20:00,359,0 days 23:20:00,412,0 days 23:20:00,281,0 days 23:20:00,246
141,0 days 23:30:00,362,0 days 23:30:00,422,0 days 23:30:00,267,0 days 23:30:00,242
142,0 days 23:40:00,352,0 days 23:40:00,426,0 days 23:40:00,283,0 days 23:40:00,250
143,0 days 23:50:00,364,0 days 23:50:00,417,0 days 23:50:00,278,0 days 23:50:00,259
144,1 days 00:00:00,363,1 days 00:00:00,419,1 days 00:00:00,276,1 days 00:00:00,251
145,1 days 00:10:00,359,1 days 00:10:00,418,1 days 00:10:00,282,1 days 00:10:00,248
146,1 days 00:20:00,367,1 days 00:20:00,427,1 days 00:20:00,283,1 days 00:20:00,242
147,1 days 00:30:00,352,1 days 00:30:00,443,1 days 00:30:00,280,1 days 00:30:00,252
148,1 days 00:40:00,364,1 days 00:40:00,438,1 days 00:40:00,280,1 days 00:40:00,247
149,1 days 00:50:00,360,1 days 00:50:00,426,1 days 00:50:00,281,1 days 00:50:00,247
150,1 days 01:00:00,360,1 days 01:00:00,430,1 days 01:00:00,287,1 days 01:00:00,248
151,1 days 01:10:00,357,1 days 01:10:00,439,1 days 01:10:00,272,1 days 01:10:00,249
152,1 days 01:20:00,361,1 days 01:20:00,434,1 days 01:20:00,280,1 days 01:20:00,248
153,1 days 01:30:00,367,1 days 01:30:00,430,1 days 01:30:00,274,1 days 01:30:00,249
154,1 days 01:40:00,366,1 days 01:40:00,438,1 days 01:40:00,275,1 days 01:40:00,246
155,1 days 01:50:00,363,1 days 01:50:00,439,1 days 01:50:00,284,1 days 01:50:00,254
156,1 days 02:00:00,371,1 days 02:00:00,434,1 days 02:00:00,284,1 days 02:00:00,240
157,1 days 02:10:00,366,1 days 02:10:00,427,1 days 02:10:00,293,1 days 02:10:00,250
158,1 days 02:20:00,368,1 days 02:20:00,448,1 days 02:20:00,282,1 days 02:20:00,247
159,1 days 02:30:00,363,1 days 02:30:00,437,1 days 02:30:00,281,1 days 02:30:00,247
160,1 days 02:40:00,366,1 days 02:40:00,442,1 days 02:40:00,286,1 days 02:40:00,258
161,1 days 02:50:00,362,1 days 02:50:00,436,1 days 02:50:00,282,1 days 02:50:00,245
162,1 days 03:00:00,374,1 days 03:00:00,441,1 days 03:00:00,281,1 days 03:00:00,253
163,1 days 03:10:00,354,1 days 03:10:00,451,1 days 03:10:00,289,1 days 03:10:00,251
164,1 days 03:20:00,360,1 days 03:20:00,449,1 days 03:20:00,275,1 days 03:20:00,250
165,1 days 03:30:00,359,1 days 03:30:00,451,1 days 03:30:00,288,1 days 03:30:00,246
166,1 days 03:40:00,350,1 days 03:40:00,449,1 days 03:40:00,296,1 days 03:40:00,249
167,1 days 03:50:00,365,1 days 03:50:00,460,1 days 03:50:00,302,1 days 03:50:00,266
168,1 days 04:00:00,365,1 days 04:00:00,451,1 days 04:00:00,299,1 days 04:00:00,245
169,1 days 04:10:00,374,1 days 04:10:00,462,1 days 04:10:00,293,1 days 04:10:00,250
170,1 days 04:20:00,376,1 days 04:20:00,456,1 days 04:20:00,286,1 days 04:20:00,254
171,1 days 04:30:00,377,1 days 04:30:00,451,1 days 04:30:00,289,1 days 04:30:00,256
172,1 days 04:40:00,375,1 days 04:40:00,443,1 days 04:40:00,287,1 days 04:40:00,259
173,1 days 04:50:00,382,1 days 04:50:00,436,1 days 04:50:00,288,1 days 04:50:00,253
174,1 days 05:00:00,366,1 days 05:00:00,442,1 days 05:00:00,298,1 days 05:00:00,262
175,1 days 05:10:00,374,1 days 05:10:00,442,1 days 05:10:00,298,1 days 05:10:00,253
176,1 days 05:20:00,389,1 days 05:20:00,450,1 days 05:20:00,302,1 days 05:20:00,269
177,1 days 05:30:00,387,1 days 05:30:00,447,1 days 05:30:00,304,1 days 05:30:00,256
178,1 days 05:40:00,386,1 days 05:40:00,455,1 days 05:40:00,297,1 days 05:40:00,261
