,E57_KO_10uM_cyto3,E57_KO_10uM_cyto3,E57_KO_500uM_cyto3,E57_KO_500uM_cyto3,E57_KO_Control_cyto3,E57_KO_Control_cyto3,E57_KO_DMSO_cyto3,E57_KO_DMSO_cyto3,E57_WT_10uM_cyto3,E57_WT_10uM_cyto3,E57_WT_500uM_cyto3,E57_WT_500uM_cyto3,E57_WT_Control_cyto3,E57_WT_Control_cyto3,E57_WT_DMSO_cyto3,E57_WT_DMSO_cyto3,E58_KO_10uM_cyto3,E58_KO_10uM_cyto3,E58_KO_500uM_cyto3,E58_KO_500uM_cyto3,E58_KO_Control_cyto3,E58_KO_Control_cyto3,E58_KO_DMSO_cyto3,E58_KO_DMSO_cyto3,E58_WT_10uM_cyto3,E58_WT_10uM_cyto3,E58_WT_500uM_cyto3,E58_WT_500uM_cyto3,E58_WT_Control_cyto3,E58_WT_Control_cyto3,E58_WT_DMSO_cyto3,E58_WT_DMSO_cyto3,E59_KO_10uM_cyto3,E59_KO_10uM_cyto3,E59_KO_500uM_cyto3,E59_KO_500uM_cyto3,E59_KO_Control_cyto3,E59_KO_Control_cyto3,E59_KO_DMSO_cyto3,E59_KO_DMSO_cyto3,E59_WT_10uM_cyto3,E59_WT_10uM_cyto3,E59_WT_500uM_cyto3,E59_WT_500uM_cyto3,E59_WT_Control_cyto3,E59_WT_Control_cyto3,E59_WT_DMSO_cyto3,E59_WT_DMSO_cyto3
,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time
32,1723,96.0,1393,96.0,1740,96.0,687,96.0,2749,96.0,1813,96.0,2744,96.0,2644,96.0,3601.0,96.0,1710.0,96.0,3352.0,96.0,2790.0,96.0,2203.0,96.0,3641.0,96.0,3797.0,96.0,2398.0,96.0,5165.0,96.0,4078.0,96.0,5140.0,96.0,6062.0,96.0,4102.0,96.0,2875.0,96.0,4779.0,96.0,5626.0,96.0
33,1709,99.0,1422,99.0,1751,99.0,694,99.0,2912,99.0,1754,99.0,2936,99.0,2811,99.0,3714.0,99.0,1648.0,99.0,3566.0,99.0,2847.0,99.0,2307.0,99.0,3721.0,99.0,4012.0,99.0,2668.0,99.0,5380.0,99.0,4151.0,99.0,5470.0,99.0,6285.0,99.0,4208.0,99.0,2921.0,99.0,5144.0,99.0,6023.0,99.0
34,1713,102.0,1357,102.0,1832,102.0,677,102.0,3112,102.0,1775,102.0,3225,102.0,3000,102.0,3817.0,102.0,1781.0,102.0,3567.0,102.0,2931.0,102.0,2380.0,102.0,3817.0,102.0,4327.0,102.0,2893.0,102.0,5502.0,102.0,4304.0,102.0,5672.0,102.0,6540.0,102.0,4398.0,102.0,2952.0,102.0,5519.0,102.0,6314.0,102.0
35,1889,105.0,1398,105.0,1932,105.0,707,105.0,3165,105.0,1760,105.0,3438,105.0,3250,105.0,3942.0,105.0,1835.0,105.0,3799.0,105.0,3126.0,105.0,2498.0,105.0,3934.0,105.0,4724.0,105.0,2997.0,105.0,5691.0,105.0,4353.0,105.0,6076.0,105.0,6865.0,105.0,4562.0,105.0,3057.0,105.0,5797.0,105.0,6677.0,105.0
36,1837,108.0,1544,108.0,2030,108.0,735,108.0,3429,108.0,1997,108.0,3619,108.0,3378,108.0,3970.0,108.0,1919.0,108.0,3956.0,108.0,3112.0,108.0,2686.0,108.0,3977.0,108.0,5156.0,108.0,3124.0,108.0,5932.0,108.0,4345.0,108.0,6240.0,108.0,7016.0,108.0,4754.0,108.0,3112.0,108.0,6182.0,108.0,7087.0,108.0
37,1895,111.0,1643,111.0,2213,111.0,744,111.0,3478,111.0,1894,111.0,3859,111.0,3593,111.0,4130.0,111.0,1797.0,111.0,4128.0,111.0,3272.0,111.0,2750.0,111.0,4032.0,111.0,5521.0,111.0,3373.0,111.0,6120.0,111.0,4426.0,111.0,6545.0,111.0,7474.0,111.0,4884.0,111.0,3116.0,111.0,6715.0,111.0,7596.0,111.0
38,2000,114.0,1582,114.0,2301,114.0,804,114.0,3769,114.0,1898,114.0,4221,114.0,3775,114.0,4240.0,114.0,1877.0,114.0,4387.0,114.0,3280.0,114.0,2859.0,114.0,4137.0,114.0,5958.0,114.0,3718.0,114.0,6420.0,114.0,4587.0,114.0,6903.0,114.0,7796.0,114.0,5163.0,114.0,3176.0,114.0,7124.0,114.0,7946.0,114.0
39,2054,117.0,1648,117.0,2494,117.0,868,117.0,3823,117.0,1988,117.0,4481,117.0,4125,117.0,4361.0,117.0,1826.0,117.0,4633.0,117.0,3401.0,117.0,2994.0,117.0,4238.0,117.0,6524.0,117.0,3740.0,117.0,6565.0,117.0,4717.0,117.0,7220.0,117.0,8184.0,117.0,5391.0,117.0,3210.0,117.0,7594.0,117.0,8490.0,117.0
40,2067,120.0,1849,120.0,2520,120.0,796,120.0,3970,120.0,2044,120.0,4918,120.0,4332,120.0,4446.0,120.0,1889.0,120.0,4704.0,120.0,3503.0,120.0,3112.0,120.0,4209.0,120.0,6920.0,120.0,4149.0,120.0,6757.0,120.0,4678.0,120.0,7547.0,120.0,8344.0,120.0,5513.0,120.0,3232.0,120.0,8047.0,120.0,9024.0,120.0
41,2159,123.0,1802,123.0,2683,123.0,868,123.0,4115,123.0,2132,123.0,5341,123.0,4645,123.0,4514.0,123.0,1941.0,123.0,5015.0,123.0,3572.0,123.0,3333.0,123.0,4317.0,123.0,7394.0,123.0,4439.0,123.0,6879.0,123.0,4824.0,123.0,8054.0,123.0,8663.0,123.0,5785.0,123.0,3279.0,123.0,8709.0,123.0,9661.0,123.0
42,2133,126.0,1773,126.0,2678,126.0,885,126.0,4233,126.0,2166,126.0,5627,126.0,4891,126.0,4697.0,126.0,2147.0,126.0,5193.0,126.0,3779.0,126.0,3485.0,126.0,4313.0,126.0,8078.0,126.0,4758.0,126.0,7125.0,126.0,4952.0,126.0,8547.0,126.0,9039.0,126.0,5894.0,126.0,3260.0,126.0,9312.0,126.0,10311.0,126.0
43,2209,129.0,1825,129.0,2869,129.0,896,129.0,4625,129.0,2111,129.0,6095,129.0,5080,129.0,4824.0,129.0,2251.0,129.0,5580.0,129.0,3914.0,129.0,3643.0,129.0,4326.0,129.0,8746.0,129.0,5027.0,129.0,7280.0,129.0,4906.0,129.0,8866.0,129.0,9317.0,129.0,5907.0,129.0,3295.0,129.0,9907.0,129.0,10745.0,129.0
