,02_DMSO alltime,02_DMSO alltime,03_10um alltime,03_10um alltime,04_500um alltime,04_500um alltime,05_Control 30 min removed,05_Control 30 min removed,06_DMSO30 min removed,06_DMSO30 min removed,07_10um 30 min removed,07_10um 30 min removed,08_500um 30 min removal,08_500um 30 min removal,09_Control 2h removal,09_Control 2h removal,10_DMSO 2h removal,10_DMSO 2h removal,11_10um 2h removal,11_10um 2h removal,12_500um 2h removal,12_500um 2h removal,01_Control,01_Control
,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time
48,479,24.009805225104166,375,24.019334755770835,372,24.028264937104165,246,24.037187585104167,296,24.046324123770834,301,24.055811155770833,360,24.0663919824375,203,24.07596949977083,332,24.085158403770834,399,24.094018793104166,391,24.103645305104166,477,24.000072219770832
49,487,24.505289931770832,384,24.5105531584375,352,24.515578673104166,243,24.521055201104165,309,24.5262983904375,303,24.531471651770833,369,24.536577515770833,207,24.5418860544375,340,24.5471509824375,383,24.552472369104166,404,24.557594481104168,493,24.500071323770833
50,481,25.005273987770835,393,25.010531937104165,348,25.015588425104166,239,25.0210218944375,315,25.026264219770834,293,25.0315344944375,362,25.036669731770832,211,25.042122057104166,345,25.0473430624375,371,25.052664099770833,411,25.057800275770834,492,25.0000598944375
51,478,25.505317377104166,378,25.510494561104167,372,25.5156314304375,241,25.521010491770834,333,25.526394379770835,301,25.531580139770835,362,25.536671939770834,214,25.5420382224375,354,25.547125891770833,388,25.552387137104166,410,25.5575779344375,494,25.500049257104166
52,513,26.005255145104165,390,26.0104601744375,353,26.015637115770833,248,26.021019265104165,321,26.0261913504375,296,26.0314672464375,362,26.036538073103888,221,26.041899979770832,335,26.0471214704375,383,26.052380009104166,406,26.057516707770834,485,26.0000362944375
53,497,26.505290755770833,402,26.510547489104166,358,26.515659289104168,256,26.5210158144375,320,26.526170393104167,299,26.5314300784375,360,26.5366384784375,217,26.541975489104168,333,26.5471593744375,388,26.552442635770834,401,26.557476969104165,491,26.500038155770834
54,503,27.0052723424375,384,27.010555257104166,359,27.015686779770835,242,27.021079625104168,311,27.0263564624375,294,27.031605315770832,360,27.036810241104167,217,27.042137009104167,340,27.047351067770833,389,27.0526787744375,401,27.0577955744375,525,27.000018665104168
55,508,27.505273577104166,377,27.510529371770833,358,27.515765793104165,230,27.521214785104167,315,27.526408393104166,298,27.5315942224375,381,27.536751299770835,207,27.542094459770833,348,27.547271121104167,396,27.5525960144375,410,27.557697051770834,525,27.500056289104165
56,517,28.005255579770832,395,28.010509673104167,358,28.0157034864375,239,28.0210652224375,314,28.026311571770833,305,28.031516187770833,359,28.0366525024375,215,28.041983643770834,346,28.047194857104166,396,28.052436729104166,412,28.057475611770833,534,27.999999921104166
57,495,28.505158443770835,406,28.510456427770833,374,28.515503505104167,243,28.520919441104166,317,28.526127425104168,307,28.531332523770832,355,28.536484219770834,215,28.5417674464375,344,28.547015499770833,387,28.552342475770832,423,28.557414971770832,553,28.500027371770834
